location,ksh,type,county,district,district_code,territory,population,number_of_households
Bernecebaráti,18777,község,Pest,Szob,137 0,3767,898,454
Berzék,26356,község,Borsod-Abaúj-Zemplén,Miskolc,061 0,1059,1096,348
Berzence,30119,nagyközség,Somogy,Csurgó,141 0,5376,2574,965
Besence,30049,község,Baranya,Sellye,030 0,958,107,44
Besenyőd,13639,község,Szabolcs-Szatmár-Bereg,Baktalórántháza,148 0,945,722,254
Besenyőtelek,27517,község,Heves,Füzesabony,105 0,4910,2588,1085
Besenyszög,11305,város,Jász-Nagykun-Szolnok,Szolnok,167 0,13807,3276,1422
Besnyő,16346,község,Fejér,Dunaújváros,078 0,4464,1691,688
Beszterec,21227,község,Szabolcs-Szatmár-Bereg,Kemecse,152 0,1159,1043,371
Bezedek,14119,község,Baranya,Mohács,027 0,1136,223,104
Bezenye,29805,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,3002,1302,569
Bezeréd,12830,község,Zala,Zalaegerszeg,197 0,1214,126,149
Bezi,10560,község,Győr-Moson-Sopron,Győr,087 0,1120,517,205
Biatorbágy,08891,város,Pest,Budakeszi,123 0,4411,12767,4818
Bicsérd,13310,község,Baranya,Szentlőrinc,032 0,1975,1003,366
Bicske,10481,város,Fejér,Bicske,077 1,7708,11891,4125
Bihardancsháza,25256,község,Hajdú-Bihar,Püspökladány,102 0,831,172,100
Biharkeresztes,19956,város,Hajdú-Bihar,Berettyóújfalu,094 0,4923,4149,1642
Biharnagybajom,24828,község,Hajdú-Bihar,Püspökladány,102 0,6134,2824,1114
Bihartorda,29887,község,Hajdú-Bihar,Püspökladány,102 0,2237,941,407
Biharugra,29610,község,Békés,Sarkad,051 0,5284,945,557
Bikács,11970,község,Tolna,Paks,172 0,3466,449,206
Bikal,04899,község,Baranya,Komló,026 0,1703,729,329
Biri,02945,község,Szabolcs-Szatmár-Bereg,Nagykálló,155 0,2259,1407,511
Birján,05139,község,Baranya,Pécs,028 0,907,501,205
Bisse,24925,község,Baranya,Siklós,031 0,1380,215,112
Boba,29203,község,Vas,Celldömölk,176 0,1095,827,326
Bocfölde,17543,község,Zala,Zalaegerszeg,197 0,873,1123,421
Boconád,22354,község,Heves,Heves,108 0,2953,1274,639
Bócsa,08305,község,Bács-Kiskun,Kiskőrös,039 0,9704,1823,877
Bocska,31291,község,Zala,Nagykanizsa,196 0,738,323,135
Bocskaikert,34102,község,Hajdú-Bihar,Hajdúhadház,098 0,1090,3192,1282
Boda,20899,község,Baranya,Szentlőrinc,032 0,1542,403,173
Bodajk,18254,város,Fejér,Mór,082 0,2897,4066,1542
Bodmér,11624,község,Fejér,Bicske,077 0,717,232,108
Bodolyabér,33002,község,Baranya,Komló,026 0,909,206,121
Bodonhely,06220,község,Győr-Moson-Sopron,Csorna,086 0,1109,287,163
Bodony,14933,község,Heves,Pétervására,109 0,2896,745,447
Bodorfa,04321,község,Veszprém,Sümeg,188 0,222,94,55
Bodrog,10506,község,Somogy,Kaposvár,143 0,1478,439,185
Bodroghalom,23737,község,Borsod-Abaúj-Zemplén,Cigánd,054 0,2686,1358,526
Bodrogkeresztúr,30784,község,Borsod-Abaúj-Zemplén,Tokaj,069 0,2987,1109,545
Bodrogkisfalud,33808,község,Borsod-Abaúj-Zemplén,Tokaj,069 0,1468,840,430
Bodrogolaszi,14401,község,Borsod-Abaúj-Zemplén,Sárospatak,064 0,2062,917,387
Bódvalenke,27429,község,Borsod-Abaúj-Zemplén,Edelény,055 0,663,211,60
Bódvarákó,33303,község,Borsod-Abaúj-Zemplén,Edelény,055 0,922,80,79
Bódvaszilas,05926,község,Borsod-Abaúj-Zemplén,Edelény,055 0,1923,1080,471
Bogács,25195,község,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,2469,1960,968
Bogád,32151,község,Baranya,Pécs,028 0,784,999,393
Bogádmindszent,21892,község,Baranya,Sellye,030 0,1158,425,138
Bogdása,10694,község,Baranya,Sellye,030 0,2100,256,123
Bogyiszló,03425,község,Tolna,Tolna,175 0,5595,2152,914
Bogyoszló,04367,község,Győr-Moson-Sopron,Csorna,086 0,2621,619,312
Bojt,14137,község,Hajdú-Bihar,Berettyóújfalu,094 0,2686,551,206
Bókaháza,19929,község,Zala,Keszthely,193 0,670,263,142
Bokod,07311,község,Komárom-Esztergom,Oroszlány,113 0,2991,2064,807
Bokor,03841,község,Nógrád,Pásztó,118 0,675,125,68
Boldog,03452,község,Heves,Hatvan,107 0,2674,2937,1168
Boldogasszonyfa,13116,község,Baranya,Szigetvár,033 0,1722,379,212
Boldogkőújfalu,18944,község,Borsod-Abaúj-Zemplén,Gönc,057 0,1098,576,207
Boldogkőváralja,14474,község,Borsod-Abaúj-Zemplén,Gönc,057 0,2199,1119,419
Boldva,08396,község,Borsod-Abaúj-Zemplén,Edelény,055 0,2834,2360,791
Bolhás,13994,község,Somogy,Nagyatád,145 0,3143,431,184
Bolhó,18120,község,Somogy,Barcs,140 0,2507,756,392
Bóly,33154,város,Baranya,Bóly,024 1,2538,3887,1492
Boncodfölde,10782,község,Zala,Zalaegerszeg,197 0,590,341,131
Bonyhád,06497,város,Tolna,Bonyhád,170 1,7213,13471,5572
Bonyhádvarasd,14818,község,Tolna,Bonyhád,170 0,1045,416,159
Bonnya,22673,község,Somogy,Tab,147 0,1462,250,141
Bordány,08192,nagyközség,Csongrád,Mórahalom,074 0,3648,3281,1487
Borgáta,03090,község,Vas,Celldömölk,176 0,621,179,104
Borjád,06725,község,Baranya,Bóly,024 0,1559,379,153
Borota,19327,község,Bács-Kiskun,Jánoshalma,036 0,8178,1371,766
Borsfa,10056,község,Zala,Letenye,195 0,1183,694,292
Borsodbóta,30669,község,Borsod-Abaúj-Zemplén,Ózd,062 0,813,907,344
Borsodgeszt,16124,község,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,1506,259,174
Borsodivánka,06707,község,Borsod-Abaúj-Zemplén,Mezőkövesd,060 0,1590,708,250
Borsodnádasd,05315,város,Borsod-Abaúj-Zemplén,Ózd,062 0,2807,3204,1349
Borsodszentgyörgy,30207,község,Borsod-Abaúj-Zemplén,Ózd,062 0,2153,1193,484
